Bird_ID,Species,Origin,Destination
B1000,Warbler,"11.906566441337574, -169.37825068830264","11.906566441337574, -169.37825068830264"
B1001,Stork,"62.301545854189925, -111.47506945435978","39.92109196071499, 47.96343632717577"
B1002,Hawk,"87.86116387126651, -78.72732718179907","66.9909803844028, 19.44846614106183"
B1003,Warbler,"35.77058955392532, 153.1043405316318","-49.00314464266457, -157.86874351896182"
B1004,Crane,"-21.611614380025586, 106.67482429343966","11.681051201013176, -115.02286310465428"
B1005,Hawk,"-15.8716165438901, 138.29223115055436","18.59421377291549, -175.11606758771504"
B1006,Hawk,"-26.697200446302496, -21.42750701617652","-37.285769195091696, -141.0613777806895"
B1007,Warbler,"18.65035796525161, 116.12235285951118","87.83093065759181, 82.74587751993033"
B1008,Goose,"43.09303872928518, 127.25768586482953","51.39682494231954, -178.30398175007423"
B1009,Crane,"57.50416144600757, -36.01554340500013","-32.17210154903058, -70.41401474120393"
B1010,Warbler,"-15.013240257029068, 178.00626518793098","-25.48181597974508, -18.2442944237022"
B1011,Crane,"39.00753040662707, 126.4459065177129","39.28646679122281, 157.61240967556495"
B1012,Crane,"74.92006656535975, 170.67490874812393","-87.93118413119832, -62.27747359563018"
B1013,Hawk,"75.74846300112696, 131.93895911225957","-6.472739218593986, 101.92707471899058"
B1014,Stork,"36.72522048863566, 99.43331049201883","-28.240025021599266, -32.84439136106579"
B1015,Crane,"24.642394706256496, 159.78379444723646","63.72053423500583, -144.54310317069115"
B1016,Eagle,"5.674693594501221, -28.86507194954757","52.43308388080612, -144.41625072110548"
B1017,Hawk,"-57.02441972721686, 102.00003605887052","-30.222553190312347, -24.32382480629357"
B1018,Goose,"-67.74666253102467, -103.35916587020056","65.66345594977818, -159.16207265417495"
B1019,Stork,"-2.572018777911552, 83.80578769958771","74.44800109215512, 25.782926854066066"
B1020,Eagle,"-61.30005188265732, 102.72718189886145","9.442592844166969, -2.2860952679238267"
B1021,Eagle,"13.859986620480484, 77.9487875580923","-61.33733952154687, 72.91266685062425"
B1022,Goose,"26.22649145421927, 125.9327035285782","48.65905491268825, -113.1762494124616"
B1023,Stork,"4.61080755360733, -31.199239134141976","-32.51803679501478, 33.45453134166078"
B1024,Hawk,"-83.44319174772954, 16.11652754717693","4.91065020716438, -117.17190851563656"
B1025,Swallow,"-79.60896741558021, -176.15973214970245","-81.79404038505574, 80.00413685015371"
B1026,Stork,"-69.59858675733261, -127.42086131783137","0.0162760710800569, -69.42288303010568"
B1027,Goose,"-62.34375510209898, 51.909813226015785","-21.552384016730517, 41.18983297165727"
B1028,Eagle,"88.17887047847998, 22.43419187221619","33.49175278334384, 137.76381362500445"
B1029,Hawk,"-27.99089696463796, -108.96029512509456","-82.65893760790047, -4.2357145746154"
B1030,Stork,"-37.44479274456849, -92.35267410229864","22.49018498447037, -110.77484042546646"
B1031,Swallow,"-80.59200558043877, -56.1304073075551","48.95209324333192, 139.00424433117365"
B1032,Swallow,"24.357670323407376, 77.90929665966331","-87.69993360590452, -50.91136191660473"
B1033,Crane,"27.394341323630528, 39.49797695878834","44.99340204096183, 82.89103512495603"
B1034,Crane,"-58.41923587584036, -154.95434489689566","-66.56327509047236, -64.76555572948674"
B1035,Warbler,"75.46347736643037, 93.57809364444984","35.65010078513302, -72.64244064568442"
B1036,Goose,"54.088838387122905, -85.44255731206937","-8.05025225237263, 51.13017335295214"
B1037,Stork,"-48.54252297464855, 61.83348422559126","9.358435136118048, -123.7278833258516"
B1038,Stork,"-2.547048435023271, -135.58937592184185","-29.27749492245369, 132.11059350524994"
B1039,Warbler,"-7.489645884207022, 179.25165961890053","-45.8160468610648, -40.45536481469304"
B1040,Eagle,"-27.26632001838226, -151.0793385524229","-77.21147554967715, -173.06012305133984"
B1041,Eagle,"57.17424830861037, 87.02425022435824","65.64419774661718, -70.04286950019575"
B1042,Warbler,"-70.33239258819282, 14.878929331114335","19.87725881442276, 102.5878768558207"
B1043,Eagle,"-15.243436830997313, -149.0618911377102","86.90384867776513, 129.3691879205229"
B1044,Crane,"-12.954396501140934, -170.34823528172802","63.08134207288498, 24.436899701416"
B1045,Stork,"-5.629391169447658, -49.44034169399569","66.5339880994467, -74.12064550468395"
B1046,Warbler,"65.04299839775317, 108.80061552257185","17.612942522881156, 10.02747732898132"
B1047,Stork,"-50.72996336372977, -165.1855534986987","-75.43031319611195, 121.09510750740844"
B1048,Swallow,"-71.4738287677909, 73.58351879809948","74.41132717185775, -66.226381297829"
B1049,Crane,"21.20552330779944, 55.93545945512591","-68.7804778531374, -41.24268950544365"
B1050,Hawk,"-58.70979450395152, -84.40643636180381","3.086281684542428, 14.289887876415946"
B1051,Crane,"-76.51222454616844, -152.1028671354395","64.23403286009594, 139.3697504414381"
B1052,Warbler,"-13.203140297210368, 149.5159057994623","-4.966557421802236, 29.573616179327416"
B1053,Hawk,"-50.46364244553463, -71.87407101477937","-60.17933625163506, -105.25854406080484"
B1054,Swallow,"-24.981008603762945, -139.902036556766","-22.824567232756124, -147.9225463266924"
B1055,Warbler,"-43.25200558155765, 65.34614820992977","87.90972483777878, -145.7949755059683"
B1056,Goose,"-73.32543670978517, -101.99475763501393","89.95665356842372, 162.08984656319302"
B1057,Stork,"10.86249652635628, -8.772927997453223","37.95029820859365, 116.0684911121595"
B1058,Swallow,"-85.13668475289258, -161.85400407502812","69.838615683802, 95.7076884452124"
B1059,Stork,"83.94756263899191, 177.47422160691775","-82.04278893037548, -1.3087514987832094"
B1060,Eagle,"-28.560506087706077, -18.856394360822748","-40.32511650315158, 62.11426221993145"
B1061,Goose,"35.12835188816469, 179.67959327143234","-23.58728111271021, -134.16109036470937"
B1062,Goose,"55.86531705854097, -41.157044303736114","-87.84042345572726, 43.52245764478073"
B1063,Swallow,"-39.76113680288008, -54.773079860801005","-22.146919992549243, 111.88106372836064"
B1064,Goose,"44.77296763981229, 149.24603817614644","-73.25431468930796, -157.63005351494937"
B1065,Hawk,"59.83575397644773, -61.39229261598428","3.1336743628092307, -73.38584796866019"
B1066,Goose,"-46.562897913909566, -24.47800296614253","-89.20452439819259, -140.2996775893458"
B1067,Stork,"88.6490418412931, -151.88024278290328","-41.31902005791272, -86.31826701549937"
B1068,Stork,"-86.27603708842392, 163.96645969277125","65.93101247415805, 98.10859388421784"
B1069,Warbler,"-50.93991355760261, -149.3455532936752","-51.64955029435238, -60.462300136329645"
B1070,Stork,"50.40373612985872, 97.62657607271672","-78.32818266318932, 68.28618523966264"
B1071,Warbler,"-55.056415489964486, 13.901541772023704","-45.04845879909811, 98.38890754016938"
B1072,Stork,"35.68677539511717, -157.8941481428875","58.96056708062761, 113.98992864205206"
B1073,Hawk,"63.99547289692265, -179.38662190521978","15.693725429015627, 134.41515962700691"
B1074,Warbler,"82.65856907416682, 156.79930986976655","15.493386480757335, 35.14889232694918"
B1075,Crane,"-4.635447227951488, 87.1824255247958","-89.8966778998496, -78.96966048013518"
B1076,Eagle,"84.79964213678113, 67.11704767418937","-5.012781502389998, -125.79892849599"
B1077,Swallow,"-15.90798659729785, -22.119648984280104","-42.18875285377752, 1.335115516777904"
B1078,Stork,"-50.73695285861056, -94.09903678404812","-29.482377801048905, -142.71939666423228"
B1079,Goose,"2.50593355525055, 64.75070690300663","17.76359478026184, 147.8606324334125"
B1080,Stork,"26.968183976068676, 38.98838470215571","67.38115952256385, -20.70711434052941"
B1081,Goose,"-7.566603111010124, 81.48319014540112","-57.30175694918203, 134.27429245581203"
B1082,Eagle,"12.055039914022489, -48.31469333990566","48.27996426033849, 75.33733811002688"
B1083,Eagle,"-15.046346209106048, 175.29255378474852","-81.19760806108127, 128.59832261946764"
B1084,Eagle,"4.457151723824964, -155.87688404572816","-31.18875013573029, 138.22491213164352"
B1085,Goose,"81.46722095038109, -151.30741786696294","-50.59571585762674, -160.81434057154158"
B1086,Stork,"-0.0303925434602376, 150.0753051290214","74.80511706113194, 81.09282522029895"
B1087,Eagle,"-44.42766609433316, 53.174316570855694","-57.9603768541471, -98.44282928978188"
B1088,Hawk,"46.57439187226271, -62.51973545444241","14.15374526358208, 176.14688602028042"
B1089,Warbler,"-29.23479759932112, 94.30299277222542","-60.33903016405682, 100.22507068534776"
B1090,Goose,"56.91729074785033, -17.001580372905636","-4.772931250197601, -178.6445989908394"
B1091,Goose,"-79.76844198290067, -172.39625682921644","-15.588017754285444, 153.8698758487932"
B1092,Stork,"-30.207964120435555, 54.39732099118464","-82.55570539790739, -74.76987520757623"
B1093,Goose,"-73.01521651308491, -92.47970264705177","58.65616686610872, -30.00470413087811"
B1094,Goose,"-74.64279163575034, -138.4793580203756","50.42028872099587, 40.42280841403223"
B1095,Eagle,"28.510120651038704, -98.90165430021447","-39.98549302779507, 149.87152585591866"
B1096,Stork,"-20.63973575635066, -8.583162793470535","20.51912464127156, 153.83758437146184"
B1097,Eagle,"66.86620955732025, -162.05168473803352","-24.71947544145989, 22.849834583066094"
B1098,Warbler,"2.9529248172352425, 137.93485924063714","48.46088579039187, -65.97918150787855"
B1099,Warbler,"-36.83822018898911, 21.57048596497029","34.64720213091435, -79.49162098598137"
B1100,Eagle,"39.75999983319505, -74.52137515845034","-73.71594339840686, -48.817044439747576"
B1101,Warbler,"22.323022485425938, 67.3217453119259","61.953869766575366, -115.01507392595607"
B1102,Stork,"53.9270317492566, 109.52513891277886","-57.703301082892445, 61.13988659523452"
B1103,Swallow,"25.845889741539292, 41.01286607405288","-58.66025355622914, 10.00873843426342"
B1104,Eagle,"-59.937584922194354, -107.10191451221152","42.07443746751929, 98.447292097128"
B1105,Hawk,"30.65580678007187, -140.29616874728026","-57.01480894966284, -146.11992591980425"
B1106,Hawk,"-19.52114442915415, 129.5638909320192","-67.96854836254286, -36.03390323753956"
B1107,Goose,"-6.634254553637746, -95.51253112137344","-29.595091098873425, -93.64936744767913"
B1108,Warbler,"75.88162363272204, -172.77032495610084","60.9682465445718, 12.667034253385822"
B1109,Hawk,"-25.20647166640553, 51.44475893553076","-58.17442351814617, -11.432165875699296"
B1110,Goose,"20.15264573835097, -124.96128124884734","-28.966861238792376, -18.15643757194954"
B1111,Swallow,"-24.57328798579688, 176.7491351152471","-38.47428889609384, -66.36469250018071"
B1112,Stork,"-72.94905263559748, 133.1030994261883","-25.90904435042053, 81.6644068106857"
B1113,Stork,"-8.365438431305904, 39.04046136043837","38.56892298438524, -6.63562646576753"
B1114,Stork,"17.471070802737344, 120.19163133907564","-17.016195422810114, -107.19223926725056"
B1115,Hawk,"-16.649407433232227, -10.60714772326935","46.72380264135171, 17.081090243925615"
B1116,Swallow,"-19.680086757926816, 103.8550480064767","25.272564884706128, 34.80197617418182"
B1117,Hawk,"57.66813250099145, 52.75207886297443","-25.002147220394875, -172.30331618448034"
B1118,Warbler,"-84.65666898789536, -169.68792673092386","-12.196659310698491, -106.63968209453516"
B1119,Hawk,"-36.79462858677841, 161.55276031902326","36.65208817053056, -92.73459235417836"
B1120,Swallow,"56.11630776789809, 129.93104815080733","6.255974372081425, -90.6929416212727"
B1121,Swallow,"75.69542675000949, 163.2266606135599","66.30122905692963, -94.01548667038892"
B1122,Warbler,"-15.786074548650916, 83.29173644189365","77.9730153258181, -82.20917823591031"
B1123,Swallow,"69.98296377529374, -31.65806820181604","39.18731868690168, -85.41819854826203"
B1124,Swallow,"-54.192578017494114, -105.4853196169384","88.05728156801024, 138.26478143649808"
B1125,Stork,"-50.14312778516893, -115.20131487628716","17.3766217354803, -64.92676599181614"
B1126,Warbler,"62.31444778526463, -127.83015058040222","-82.83045774407266, -54.08542282815182"
B1127,Crane,"72.58639344131129, -100.58052864905362","0.8733701028894245, -84.17618547006444"
B1128,Crane,"-49.89496176671985, 18.228964805062304","-48.59832971054539, 168.32676943532084"
B1129,Swallow,"-79.32164580565001, 66.14822278362277","-29.931627530824443, 12.776688084615104"
B1130,Crane,"-73.7416553300482, -66.93963803414344","-1.787390613323467, 39.79660111470585"
B1131,Crane,"-42.951449632254615, 17.548909022830856","-36.89085520605035, 84.77541434271694"
B1132,Swallow,"47.06083388642307, -57.14904259661392","-34.268105022269395, -59.86293523582566"
B1133,Crane,"1.7985290033309127, 70.74359052263853","-17.6370594461672, 168.76095471533478"
B1134,Hawk,"-7.994008396301467, 175.8550393152904","-38.43767740386405, -125.16257787323848"
B1135,Goose,"15.145187609880168, 68.04610861783806","-59.48982086737545, -15.18674382203605"
B1136,Warbler,"70.24016042319352, -158.7489923384448","47.800847262836186, -127.64186555312392"
B1137,Goose,"-73.72253167818164, -8.19541517976387","-18.86188277270803, 104.53526865373794"
B1138,Swallow,"35.05034297458464, 97.33949734843104","59.71631408819283, -141.36563087210416"
B1139,Stork,"76.82235221797293, 15.206978251289629","68.88905811263314, 19.40385722888988"
B1140,Warbler,"-51.596992483488, 162.3826907002433","45.1734275073276, -142.26974099976036"
B1141,Swallow,"60.7990168731302, -160.28219548648397","-18.5988308324698, -17.04172025350445"
B1142,Stork,"35.64444793671041, -75.1840044135559","39.83798034386541, -79.08912328585463"
B1143,Goose,"-87.39566350683396, -100.5414812496761","-62.06030921185688, 145.18683286535747"
B1144,Swallow,"-48.309897534816926, 96.34399263489196","29.000836647999463, -160.8855137744548"
B1145,Warbler,"19.052056961258543, 8.565504654242432","-16.914228488305014, 53.977546728088186"
B1146,Warbler,"0.4320611084180967, -130.1960839129179","28.01599469851045, 70.29044386480427"
B1147,Eagle,"5.028525454835872, -77.18642515388592","45.8623065855102, 140.03355685723506"
B1148,Hawk,"-48.25252357077192, 8.157356278694948","11.283567845994298, 135.9826042720178"
B1149,Crane,"31.500624727552804, 178.60643325131372","25.646146749880916, 171.74026317873546"
B1150,Stork,"-42.04469323138016, -48.854751330466144","-51.56497234705355, -88.59263243504206"
B1151,Eagle,"-19.9017060338783, -123.54260495770968","16.68591984767974, -81.06286458680123"
B1152,Crane,"-23.595135141586283, -1.0560507150031242","-7.114628016855164, -36.974617892058575"
B1153,Crane,"30.964503981581743, -68.33290419609634","-12.950485279702662, 13.527713029130553"
B1154,Swallow,"-73.75450289702087, 23.74805657827733","-16.143164213166983, -47.82890930353972"
B1155,Crane,"-53.00245781276666, -11.984290997318652","-34.03367496254365, 86.50670779615274"
B1156,Hawk,"-53.91052727668779, 68.2163718165082","-35.039760770442875, -176.92378131252482"
B1157,Warbler,"-70.48355865917219, 149.1446551923059","35.947157031096665, -173.64444639185302"
B1158,Eagle,"-52.63290380943737, -107.81483372324963","10.403956050416, 77.78043353912989"
B1159,Crane,"19.270848226203785, 115.62482533262336","-84.60862067454043, 137.92364011826714"
B1160,Swallow,"41.79027075735388, 161.7356575974727","-81.26545858580344, 99.557083343586"
B1161,Hawk,"28.854620454442085, -45.50051465353363","12.6214201886808, -137.8470191659772"
B1162,Goose,"-4.46613516344118, -139.08142778518842","62.331026184928845, 156.59064969546296"
