Bird_ID,Species,Origin,Destination,Migration_Success
B1004,Crane,"65.101780, -156.336424","29.784620, -99.302402",Failed
B1009,Crane,"58.303927, -118.856604","29.057015, -80.711009",Successful
B1011,Crane,"64.324778, -154.691894","29.673074, -100.642741",Failed
B1012,Crane,"52.265419, -104.398675","26.209172, -95.206405",Successful
B1015,Crane,"67.349016, -149.340312","30.468848, -103.476850",Failed
B1033,Crane,"44.842927, -92.096133","30.845871, -100.384071",Successful
B1034,Crane,"46.419747, -95.907558","26.654673, -82.404726",Successful
B1044,Crane,"57.489996, -106.321068","29.656624, -82.069912",Failed
B1049,Crane,"58.330400, -103.869327","31.579221, -83.739888",Failed
B1051,Crane,"59.459080, -102.073473","28.608601, -82.117389",Failed
B1075,Crane,"65.270901, -148.386254","25.461495, -103.236181",Failed
B1127,Crane,"54.892179, -101.719273","31.128955, -101.061791",Failed
B1128,Crane,"56.185564, -109.586224","32.777014, -98.115247",Failed
B1130,Crane,"64.009490, -96.900586","30.710647, -98.645109",Successful
B1131,Crane,"60.386711, -151.284663","29.777463, -102.884080",Successful
B1133,Crane,"47.583577, -89.374592","32.158056, -96.155387",Failed
B1149,Crane,"63.321760, -112.292085","30.347733, -104.693464",Successful
B1152,Crane,"58.801987, -104.019278","25.609839, -100.122643",Failed
B1153,Crane,"59.248095, -102.623901","22.033950, -96.362253",Successful
B1155,Crane,"47.852847, -89.510346","27.761686, -84.661861",Successful
B1159,Crane,"60.015614, -110.603703","26.131698, -81.523056",Successful
B1167,Crane,"61.451182, -157.959297","33.627866, -98.066088",Failed
B1175,Crane,"55.445195, -114.467924","22.671603, -103.903139",Successful
B1188,Crane,"52.909086, -100.399889","33.447494, -101.918337",Failed
B1193,Crane,"69.232809, -142.522601","24.834045, -96.369678",Successful
B1194,Crane,"62.268482, -151.530577","33.304065, -97.066573",Successful
B1211,Crane,"50.499299, -109.943249","33.281329, -98.901900",Failed
B1221,Crane,"64.273322, -141.522489","32.781822, -105.565160",Successful
B1227,Crane,"46.963278, -93.139269","24.875022, -96.916759",Failed
B1230,Crane,"48.744009, -90.897039","27.553542, -80.490014",Failed
B1235,Crane,"46.574880, -99.757461","28.705587, -103.455397",Successful
B1239,Crane,"48.353423, -88.034644","27.309452, -83.242050",Successful
B1252,Crane,"63.638269, -115.611078","31.921055, -84.476705",Successful
B1257,Crane,"47.568454, -97.944404","32.757934, -96.716804",Successful
B1267,Crane,"59.654868, -111.436912","32.987495, -99.695585",Successful
B1277,Crane,"44.465058, -87.055676","30.130123, -81.120244",Successful
B1278,Crane,"58.636351, -108.552863","27.013438, -84.562562",Successful
B1287,Crane,"55.749204, -95.796668","29.539772, -84.547887",Successful
B1292,Crane,"69.581385, -155.795889","28.774042, -103.587261",Successful
B1295,Crane,"61.360764, -117.028362","24.244877, -104.517238",Failed
B1298,Crane,"47.429511, -98.530990","28.635050, -81.285970",Successful
B1300,Crane,"59.424033, -107.800634","25.377965, -97.803036",Failed
B1302,Crane,"61.606595, -115.181947","30.053929, -83.425957",Failed
B1304,Crane,"62.174676, -104.952352","28.686640, -80.630333",Failed
B1313,Crane,"59.424523, -98.852901","29.616000, -80.576134",Successful
B1322,Crane,"48.099156, -99.020631","27.056061, -83.124753",Successful
B1336,Crane,"62.602531, -158.598699","29.458920, -97.686055",Failed
B1340,Crane,"43.051972, -88.225979","29.351193, -104.456503",Failed
B1341,Crane,"58.763869, -119.754931","31.402862, -102.784667",Successful
B1342,Crane,"56.035738, -100.973019","33.635915, -104.019411",Failed
B1347,Crane,"61.352381, -155.173910","33.619993, -105.382832",Successful
B1353,Crane,"53.087584, -105.390359","24.160710, -100.263019",Failed
B1356,Crane,"45.670263, -89.770746","30.986111, -84.401906",Successful
B1364,Crane,"63.664683, -159.333457","33.482430, -98.071458",Successful
B1375,Crane,"44.502534, -95.993801","28.725662, -99.375324",Successful
B1379,Crane,"62.154431, -107.555491","27.071968, -84.043160",Successful
B1380,Crane,"47.896841, -93.375493","33.976251, -105.159196",Successful
B1389,Crane,"55.531662, -98.436223","28.002551, -97.911093",Successful
B1391,Crane,"56.159408, -106.998566","23.164133, -97.791516",Successful
B1392,Crane,"46.058993, -97.901151","28.203119, -82.886048",Successful
B1403,Crane,"59.107910, -101.042442","26.762118, -97.410045",Failed
B1405,Crane,"61.507853, -102.796690","29.978640, -105.678568",Successful
B1415,Crane,"62.625178, -115.267181","26.245877, -96.719119",Successful
B1424,Crane,"62.513524, -155.885729","27.431067, -102.501712",Failed
B1433,Crane,"65.155000, -154.846460","32.245092, -95.915819",Successful
B1440,Crane,"53.069715, -106.100828","23.402543, -101.038679",Failed
B1448,Crane,"53.107627, -110.938787","25.466380, -103.143218",Successful
B1455,Crane,"57.233948, -105.054300","28.851221, -103.866874",Failed
B1462,Crane,"64.600856, -106.859068","30.742679, -96.731653",Successful
B1477,Crane,"60.010950, -158.840238","31.251574, -96.095616",Failed
B1486,Crane,"52.889044, -104.110238","22.090728, -96.091749",Successful
B1502,Crane,"44.280916, -85.833565","30.440883, -84.490474",Successful
B1518,Crane,"59.891051, -111.019088","33.204266, -98.258606",Failed
B1526,Crane,"52.401364, -100.895808","27.527610, -82.169791",Failed
B1529,Crane,"63.417633, -157.978105","32.092039, -98.907917",Failed
B1562,Crane,"45.433764, -90.366872","32.456769, -101.195634",Successful
B1565,Crane,"46.492618, -87.100513","28.292423, -82.972191",Failed
B1601,Crane,"57.142564, -107.344770","31.255176, -105.148630",Failed
B1611,Crane,"44.378023, -88.246808","34.727578, -103.451213",Successful
B1615,Crane,"53.511182, -114.633116","34.662782, -101.385393",Successful
B1620,Crane,"45.562809, -89.935937","30.579762, -81.369188",Failed
B1621,Crane,"62.378786, -93.581693","31.184744, -84.818373",Successful
B1624,Crane,"57.568919, -103.919322","30.696002, -96.196499",Successful
B1628,Crane,"63.573343, -155.062372","30.017806, -100.882429",Successful
B1637,Crane,"63.935303, -108.621141","33.275993, -97.758687",Failed
B1639,Crane,"58.895509, -103.123178","30.392281, -82.854333",Failed
B1649,Crane,"58.698367, -112.949277","27.119965, -84.962080",Failed
B1657,Crane,"59.677989, -107.635728","34.714386, -97.179134",Successful
B1668,Crane,"47.072965, -86.222779","29.704372, -82.875920",Failed
B1670,Crane,"66.748891, -153.087516","29.563718, -83.551774",Successful
B1684,Crane,"44.797326, -93.820568","26.146724, -84.979369",Successful
B1694,Crane,"58.901747, -107.156898","24.809528, -103.783543",Failed
B1695,Crane,"55.797911, -100.148792","25.848894, -103.107360",Successful
B1701,Crane,"59.384452, -108.360750","27.215155, -80.296433",Failed
B1709,Crane,"51.139833, -113.391988","28.992940, -105.617213",Failed
B1714,Crane,"43.195568, -86.606101","31.235133, -102.968306",Failed
B1718,Crane,"68.881589, -156.960410","29.422364, -97.715054",Failed
B1734,Crane,"55.637963, -111.499141","27.505759, -99.884797",Failed
B1737,Crane,"52.168671, -108.143132","27.395090, -84.684773",Successful
B1738,Crane,"61.346037, -149.915154","33.322339, -103.291620",Successful
B1755,Crane,"55.191594, -119.249565","27.447942, -80.023591",Failed
B1762,Crane,"64.742056, -105.973727","32.859415, -98.181058",Failed
B1777,Crane,"48.099795, -88.273570","31.366872, -81.905980",Failed
B1782,Crane,"67.000420, -141.859574","28.785031, -103.713539",Failed
B1785,Crane,"61.709659, -117.919467","27.382934, -82.869337",Successful
B1788,Crane,"62.462850, -144.966210","28.873715, -98.054773",Successful
B1802,Crane,"47.960059, -99.378346","33.936805, -105.805255",Successful
B1824,Crane,"58.814171, -109.543302","27.457277, -101.636729",Failed
B1828,Crane,"60.107704, -91.654611","32.799288, -96.664896",Successful
B1829,Crane,"45.382492, -92.979762","31.280005, -84.081930",Successful
B1843,Crane,"50.463694, -100.435110","34.491763, -102.474858",Failed
B1846,Crane,"67.892668, -154.223251","33.256614, -95.955239",Successful
B1865,Crane,"62.369733, -149.741814","33.225745, -101.857815",Failed
B1878,Crane,"44.271281, -99.042080","29.548173, -84.485734",Successful
B1882,Crane,"45.400087, -97.784046","31.033201, -105.296232",Failed
B1890,Crane,"55.692289, -99.921472","30.072209, -81.943461",Successful
B1900,Crane,"59.327916, -104.222102","33.249065, -105.217571",Successful
B1906,Crane,"50.870603, -103.491872","24.732031, -100.595649",Failed
B1907,Crane,"54.683643, -112.940122","25.523788, -104.683347",Successful
B1913,Crane,"62.587280, -104.701117","30.103474, -81.719485",Successful
B1925,Crane,"56.806263, -102.149165","31.158088, -83.157103",Successful
B1933,Crane,"60.799396, -145.895545","31.265699, -98.672134",Successful
B1940,Crane,"64.474984, -90.982805","31.687556, -81.794802",Failed
B1956,Crane,"62.258776, -146.349582","24.374330, -101.802838",Successful
B1957,Crane,"52.120631, -109.712359","25.629338, -99.012125",Successful
