Bird_ID,Species,Origin,Destination,Migration_Success
B1008,Goose,"64.990035, -156.095523","36.564108, -99.880275",Failed
B1018,Goose,"68.101906, -118.638330","32.058502, -95.929748",Failed
B1022,Goose,"68.047522, -143.147394","39.298662, -119.269095",Successful
B1027,Goose,"70.638457, -115.029188","29.182514, -91.674566",Successful
B1036,Goose,"62.690246, -163.198670","43.591928, -119.348938",Failed
B1056,Goose,"68.473789, -161.910557","43.491398, -120.694699",Successful
B1061,Goose,"70.279860, -156.066203","30.639580, -98.618788",Successful
B1062,Goose,"60.430426, -162.940190","29.115750, -93.021183",Successful
B1064,Goose,"70.418962, -141.871371","31.503347, -93.222897",Failed
B1066,Goose,"68.916241, -144.848739","35.199186, -122.107969",Failed
B1079,Goose,"67.392360, -150.882998","38.700346, -121.894874",Successful
B1081,Goose,"71.179461, -116.078111","41.871702, -120.926649",Failed
B1085,Goose,"72.834361, -101.669864","28.749770, -94.632948",Successful
B1090,Goose,"63.840532, -148.365528","41.184605, -119.019180",Successful
B1091,Goose,"70.716335, -159.997456","43.836947, -122.951626",Successful
B1093,Goose,"70.094637, -144.726707","38.012610, -118.742617",Failed
B1094,Goose,"70.757480, -151.437799","37.591896, -96.408856",Successful
B1107,Goose,"72.616324, -97.801773","33.959180, -99.667768",Successful
B1110,Goose,"69.420501, -151.016663","40.626190, -123.697341",Failed
B1135,Goose,"68.537714, -159.606410","41.842882, -118.982983",Successful
B1137,Goose,"64.296045, -161.977111","28.029769, -88.861561",Successful
B1143,Goose,"66.286151, -116.074317","35.269204, -120.874347",Successful
B1162,Goose,"69.838614, -145.408710","28.765924, -91.983008",Failed
B1171,Goose,"73.576757, -111.572828","35.728049, -93.941546",Successful
B1172,Goose,"64.114953, -144.563681","28.439452, -90.372358",Successful
B1197,Goose,"68.551131, -96.494684","30.367150, -93.186045",Successful
B1198,Goose,"67.777572, -118.966360","30.718991, -98.579218",Successful
B1212,Goose,"62.426900, -150.774753","30.754607, -95.186765",Successful
B1236,Goose,"66.212926, -105.601229","33.725160, -96.666107",Successful
B1246,Goose,"70.582459, -141.453332","44.373202, -122.015921",Failed
B1251,Goose,"64.841112, -146.411760","41.985462, -120.844219",Failed
B1259,Goose,"63.577298, -146.662142","29.434547, -93.673787",Successful
B1260,Goose,"74.746088, -113.637722","30.645704, -89.754631",Successful
B1269,Goose,"61.155935, -155.114213","33.248603, -94.191244",Failed
B1272,Goose,"62.273297, -147.715603","32.850729, -88.141100",Successful
B1284,Goose,"60.731024, -153.363410","35.727236, -94.978633",Failed
B1301,Goose,"74.153156, -97.967694","35.684609, -121.536574",Successful
B1311,Goose,"71.430447, -109.813088","31.430715, -93.028207",Failed
B1317,Goose,"65.407873, -156.407766","34.358341, -99.914112",Failed
B1321,Goose,"61.814811, -142.212602","35.644719, -118.448224",Failed
B1325,Goose,"74.491478, -109.624091","29.550091, -90.762907",Failed
B1330,Goose,"74.092671, -108.886736","41.679156, -118.275013",Failed
B1359,Goose,"68.021815, -140.223362","37.685789, -94.131754",Successful
B1361,Goose,"61.387616, -150.312846","36.705095, -118.135884",Failed
B1362,Goose,"69.037052, -117.524440","28.889899, -88.604008",Successful
B1393,Goose,"64.031983, -157.782714","35.808907, -122.201498",Successful
B1434,Goose,"69.580659, -147.180385","42.682171, -119.480105",Successful
B1436,Goose,"67.768618, -159.331456","32.239480, -94.350093",Successful
B1439,Goose,"69.919914, -152.508071","41.501734, -118.138900",Successful
B1442,Goose,"60.046030, -153.065674","30.679984, -89.408889",Successful
B1446,Goose,"66.349020, -114.774125","41.633796, -119.051279",Successful
B1449,Goose,"66.696656, -99.808802","36.057566, -120.709180",Successful
B1450,Goose,"67.065246, -162.232075","29.258377, -88.091840",Successful
B1451,Goose,"70.870983, -150.408660","28.045346, -88.594618",Failed
B1459,Goose,"72.069957, -103.242351","30.854534, -94.472136",Failed
B1461,Goose,"64.567806, -159.382583","29.033259, -94.362072",Successful
B1463,Goose,"68.493497, -103.476401","38.114311, -121.480217",Failed
B1467,Goose,"73.172444, -102.082440","35.283577, -121.568880",Failed
B1481,Goose,"65.198036, -140.011002","43.435555, -119.859206",Failed
B1482,Goose,"66.196473, -103.767820","40.438260, -119.846687",Successful
B1488,Goose,"68.964029, -153.496144","36.759337, -120.603679",Failed
B1493,Goose,"65.234988, -98.256042","44.275335, -123.427386",Failed
B1494,Goose,"66.811274, -99.507822","37.703321, -97.339524",Successful
B1498,Goose,"67.941263, -150.091785","43.600169, -122.897287",Failed
B1522,Goose,"68.745097, -141.538487","38.554766, -121.575143",Successful
B1524,Goose,"67.576154, -156.348307","35.587642, -98.354309",Successful
B1531,Goose,"72.967960, -113.204181","37.104344, -96.247427",Failed
B1533,Goose,"67.191868, -99.688688","30.816237, -97.994566",Failed
B1535,Goose,"64.429985, -152.820656","37.665418, -118.380681",Successful
B1544,Goose,"69.339094, -162.819478","32.825579, -88.446621",Failed
B1545,Goose,"60.884761, -159.060344","35.931211, -122.198792",Successful
B1548,Goose,"70.238601, -152.169429","43.468045, -120.408069",Failed
B1564,Goose,"65.590338, -160.873255","38.107257, -120.256022",Failed
B1581,Goose,"60.884128, -163.554763","37.060369, -94.829236",Failed
B1582,Goose,"67.719099, -102.842732","30.686900, -91.662578",Successful
B1591,Goose,"69.640641, -99.244170","28.717867, -92.964064",Failed
B1592,Goose,"70.005001, -161.426056","44.101447, -122.544531",Successful
B1596,Goose,"66.618993, -158.119856","28.684366, -94.423760",Failed
B1599,Goose,"62.366699, -149.266478","37.707646, -118.861840",Failed
B1600,Goose,"70.550166, -157.541174","35.716340, -122.795040",Successful
B1602,Goose,"70.890671, -147.999370","40.245705, -122.903399",Failed
B1608,Goose,"70.904377, -114.297588","37.651008, -119.800089",Failed
B1614,Goose,"70.370722, -145.423184","37.942045, -122.725982",Failed
B1627,Goose,"62.816909, -151.012616","32.834375, -96.855444",Failed
B1635,Goose,"68.355820, -112.543998","38.899398, -118.809702",Failed
B1638,Goose,"70.149770, -148.145541","39.380665, -118.384393",Successful
B1642,Goose,"61.647658, -152.919658","37.061675, -95.579673",Failed
B1644,Goose,"73.917021, -103.566169","29.917122, -92.680463",Successful
B1645,Goose,"67.440625, -119.241862","37.517399, -99.814458",Failed
B1646,Goose,"63.628427, -154.342654","28.844520, -89.015935",Failed
B1648,Goose,"74.156706, -104.459570","30.321066, -91.375521",Successful
B1653,Goose,"68.220018, -152.797633","32.475784, -99.517421",Failed
B1655,Goose,"69.166903, -105.630682","31.149234, -94.967321",Successful
B1665,Goose,"70.021155, -117.161077","37.036317, -120.007825",Successful
B1672,Goose,"67.310638, -147.835328","40.827102, -122.344282",Successful
B1710,Goose,"62.808335, -141.858663","31.231200, -88.345034",Failed
B1727,Goose,"69.096502, -146.052984","35.140180, -95.750510",Successful
B1728,Goose,"68.110122, -102.685538","28.505258, -90.451916",Successful
B1732,Goose,"65.075845, -155.548515","29.334121, -91.133812",Failed
B1739,Goose,"66.544547, -101.926027","33.911132, -98.769611",Failed
B1743,Goose,"66.517215, -160.469452","39.784988, -119.621581",Successful
