Bird_ID,Species,Origin,Destination,Migration_Success
B1002,Hawk,"47.403747, -79.623799","17.074499, -88.437622",Failed
B1005,Hawk,"54.667174, -102.606280","32.514991, -90.324513",Failed
B1006,Hawk,"47.578225, -78.843627","17.651345, -87.205683",Successful
B1013,Hawk,"53.631541, -98.338865","16.319809, -88.006226",Failed
B1017,Hawk,"43.647539, -92.167913","23.458368, -96.848258",Failed
B1024,Hawk,"54.776035, -102.752108","21.628734, -104.056466",Successful
B1029,Hawk,"45.995775, -80.242546","32.091614, -97.612765",Failed
B1050,Hawk,"43.105542, -110.005877","30.558708, -82.567872",Failed
B1053,Hawk,"48.439676, -108.090917","12.529109, -87.091828",Successful
B1065,Hawk,"43.100501, -78.660890","32.308763, -95.449354",Failed
B1073,Hawk,"52.371214, -95.327435","15.338042, -90.386104",Failed
B1088,Hawk,"42.105940, -119.413101","24.067382, -95.554821",Successful
B1105,Hawk,"40.945128, -108.753247","33.318848, -80.682086",Successful
B1106,Hawk,"55.868339, -108.801176","29.894393, -95.803857",Failed
B1109,Hawk,"50.564078, -100.770049","32.672824, -92.924595",Successful
B1115,Hawk,"41.788696, -108.444436","24.358416, -95.414119",Successful
B1117,Hawk,"47.770029, -81.927718","13.793564, -90.909350",Failed
B1119,Hawk,"54.943484, -97.839552","31.347652, -85.278747",Failed
B1134,Hawk,"40.477084, -117.015589","33.813640, -87.725883",Failed
B1148,Hawk,"44.806068, -87.343852","23.339061, -102.860777",Failed
B1156,Hawk,"47.769571, -119.918463","33.988153, -98.525569",Successful
B1161,Hawk,"46.407098, -79.972100","28.751317, -80.544998",Successful
B1174,Hawk,"52.433140, -109.199072","22.401535, -100.616756",Successful
B1180,Hawk,"43.740592, -77.976034","30.223949, -87.406973",Failed
B1183,Hawk,"55.195768, -99.662223","24.165141, -100.145458",Failed
B1186,Hawk,"42.775265, -115.394753","24.123086, -104.620318",Failed
B1189,Hawk,"42.316691, -86.419074","26.202034, -104.629798",Successful
B1191,Hawk,"42.993551, -118.435928","25.610230, -99.394047",Failed
B1199,Hawk,"41.307637, -107.808555","27.838918, -99.031590",Failed
B1202,Hawk,"43.971634, -110.860943","20.225252, -95.382473",Successful
B1225,Hawk,"53.216348, -98.361186","27.586557, -98.111628",Failed
B1233,Hawk,"57.348089, -102.707732","32.631021, -99.774119",Failed
B1254,Hawk,"50.435327, -108.520062","23.429097, -98.884340",Successful
B1264,Hawk,"46.983932, -86.463291","30.638216, -96.819573",Successful
B1270,Hawk,"49.741318, -113.913883","34.286177, -94.919695",Successful
B1282,Hawk,"45.762844, -115.843715","20.527194, -97.343792",Successful
B1294,Hawk,"56.541585, -107.154577","24.695245, -104.449215",Successful
B1334,Hawk,"46.532564, -113.678528","32.747670, -96.591086",Successful
B1335,Hawk,"52.111362, -98.925043","14.591838, -89.137194",Successful
B1358,Hawk,"45.602232, -91.105654","24.373918, -98.362080",Successful
B1365,Hawk,"50.502284, -95.434680","20.901049, -98.230648",Successful
B1372,Hawk,"45.708079, -119.418304","28.007310, -98.895197",Failed
B1388,Hawk,"43.353705, -81.764316","34.542347, -80.482047",Failed
B1394,Hawk,"45.609439, -113.873139","17.786315, -90.894437",Failed
B1400,Hawk,"50.989096, -96.744514","23.764610, -96.112269",Successful
B1402,Hawk,"45.749777, -105.782122","20.955538, -102.335803",Failed
B1411,Hawk,"43.318691, -118.799302","24.971546, -96.306419",Successful
B1413,Hawk,"54.736008, -104.770007","15.134542, -85.693535",Successful
B1418,Hawk,"48.523586, -113.188432","30.953619, -94.238447",Failed
B1419,Hawk,"47.127567, -113.502600","24.594589, -99.524442",Failed
B1422,Hawk,"53.138323, -99.941676","28.602805, -95.095912",Successful
B1429,Hawk,"41.950350, -108.307904","20.270280, -95.480788",Failed
B1430,Hawk,"45.974660, -90.438784","34.284131, -89.955476",Failed
B1458,Hawk,"44.852828, -93.586884","30.841157, -92.549596",Successful
B1465,Hawk,"50.556857, -100.253455","26.893481, -100.299322",Failed
B1471,Hawk,"52.490449, -98.075987","33.345808, -83.755589",Failed
B1491,Hawk,"46.594291, -88.456206","24.327585, -99.741391",Failed
B1504,Hawk,"48.706988, -114.521870","31.667917, -90.668153",Failed
B1506,Hawk,"52.003937, -102.676816","12.451962, -90.424272",Failed
B1510,Hawk,"51.231781, -98.027918","27.619469, -104.462217",Successful
B1514,Hawk,"45.768278, -111.283125","24.348659, -98.447070",Failed
B1521,Hawk,"43.124805, -88.978840","31.506975, -93.155988",Failed
B1534,Hawk,"41.536159, -110.317399","29.904580, -94.465199",Failed
B1536,Hawk,"51.168919, -95.693487","12.176982, -85.234198",Failed
B1542,Hawk,"57.003456, -99.681246","12.807523, -89.998149",Successful
B1552,Hawk,"48.892066, -117.676248","28.793690, -88.942058",Failed
B1553,Hawk,"47.836140, -83.633857","20.652858, -95.067393",Successful
B1555,Hawk,"50.836863, -97.563022","25.212403, -102.586081",Successful
B1558,Hawk,"54.410191, -109.749734","12.434507, -87.901494",Successful
B1560,Hawk,"43.182199, -77.860385","27.807481, -103.472228",Successful
B1566,Hawk,"57.104643, -100.766121","23.823659, -98.736565",Successful
B1569,Hawk,"52.264922, -96.979867","15.939654, -89.779726",Failed
B1572,Hawk,"52.928327, -101.329718","33.608359, -91.822797",Failed
B1579,Hawk,"45.661425, -112.499766","26.269584, -104.186551",Failed
B1583,Hawk,"52.155619, -102.164926","23.102454, -97.828768",Failed
B1589,Hawk,"42.502905, -79.363641","28.450438, -81.724555",Failed
B1594,Hawk,"57.466541, -99.734803","12.419248, -90.066759",Failed
B1604,Hawk,"50.948217, -108.283401","15.947649, -88.715771",Successful
B1605,Hawk,"55.517849, -100.709501","30.216730, -99.732922",Successful
B1619,Hawk,"47.761354, -107.279276","25.725568, -99.353548",Successful
B1622,Hawk,"43.725210, -110.799754","32.035268, -85.775939",Successful
B1630,Hawk,"41.211272, -111.135645","21.380516, -103.351641",Failed
B1631,Hawk,"48.144960, -108.939432","24.921263, -99.692238",Failed
B1636,Hawk,"50.547733, -100.217241","32.883412, -81.800216",Successful
B1643,Hawk,"55.721705, -100.999824","21.836507, -101.024115",Successful
B1654,Hawk,"56.244982, -105.378467","26.009685, -101.872327",Successful
B1656,Hawk,"57.894676, -96.286017","31.008494, -93.231093",Successful
B1658,Hawk,"56.077006, -98.043554","34.764293, -88.545923",Successful
B1661,Hawk,"47.458644, -89.789972","20.909629, -97.199300",Failed
B1662,Hawk,"46.722600, -110.274197","34.772135, -90.358689",Failed
B1666,Hawk,"43.940171, -85.201697","21.427559, -97.157082",Successful
B1677,Hawk,"47.293459, -109.835813","23.895015, -101.846853",Failed
B1681,Hawk,"43.496151, -105.172222","17.625320, -88.102628",Successful
B1693,Hawk,"44.939161, -85.255765","24.196564, -104.921310",Failed
B1699,Hawk,"53.425902, -104.542662","29.536569, -93.079751",Successful
B1712,Hawk,"42.376364, -109.678156","27.819012, -96.596266",Successful
B1713,Hawk,"40.269019, -111.904755","27.856441, -99.303372",Successful
B1719,Hawk,"44.975722, -89.232592","29.561911, -80.732564",Failed
B1721,Hawk,"42.580007, -114.508118","15.440975, -90.573123",Successful
B1725,Hawk,"45.105343, -109.527872","31.782048, -98.676039",Successful
B1726,Hawk,"47.807495, -85.306977","22.021104, -100.617366",Successful
B1733,Hawk,"43.399314, -75.779260","20.151518, -101.601832",Successful
