Bird_ID,Species,Origin,Destination,Migration_Success
B1025,Swallow,"52.160924, -105.085616","5.159740, -63.518227",Successful
B1031,Swallow,"46.083615, -95.347823","15.600728, -85.629767",Failed
B1032,Swallow,"50.046157, -72.942143","17.947530, -91.430704",Successful
B1048,Swallow,"43.686619, -101.179737","-23.968727, -46.966564",Successful
B1054,Swallow,"59.426608, 69.270618","18.579997, 77.696221",Failed
B1058,Swallow,"55.975909, -8.744409","14.439043, 101.574787",Successful
B1063,Swallow,"43.645344, -84.185467","-27.011697, -56.275883",Successful
B1077,Swallow,"50.488228, 58.191197","1.352894, 5.985515",Failed
B1103,Swallow,"51.558977, -84.947559","13.121279, -88.741445",Failed
B1111,Swallow,"46.098989, 110.565158","-3.878691, 25.291653",Failed
B1116,Swallow,"45.853208, 6.156128","6.223767, 109.943001",Successful
B1120,Swallow,"39.455412, 123.753085","12.678804, 96.220391",Failed
B1121,Swallow,"55.863933, -9.386278","5.336727, 108.197100",Successful
B1123,Swallow,"47.989732, -0.883452","10.665993, 1.900471",Successful
B1124,Swallow,"42.186777, -88.301716","6.922071, -68.645179",Successful
B1129,Swallow,"54.268642, 12.271067","16.082925, 74.878836",Successful
B1132,Swallow,"46.982096, -111.256837","-26.820050, -58.828934",Successful
B1138,Swallow,"50.460112, -77.259726","7.019891, -68.502210",Failed
B1141,Swallow,"46.800444, 33.923787","11.200121, -4.003820",Successful
B1144,Swallow,"54.206269, -110.073449","16.280198, -81.170799",Successful
B1154,Swallow,"46.484040, 135.065427","13.724467, 101.999157",Failed
B1160,Swallow,"54.732894, 26.897228","1.250777, 4.557856",Failed
B1168,Swallow,"51.332581, -70.937235","10.399449, -90.679729",Failed
B1178,Swallow,"52.622186, -71.294379","-15.343955, -57.218659",Successful
B1201,Swallow,"49.259151, -121.341774","1.878257, -66.251440",Failed
B1215,Swallow,"46.773559, 3.246733","5.557582, -14.308983",Failed
B1218,Swallow,"42.600023, -104.536546","2.417064, -64.284305",Successful
B1219,Swallow,"48.876497, -80.539717","-33.464496, -53.080874",Successful
B1220,Swallow,"54.271611, -74.582040","12.303695, -93.545930",Failed
B1223,Swallow,"41.584763, 122.751239","8.408210, 104.183323",Failed
B1226,Swallow,"52.617963, 22.376134","-11.078550, 32.091034",Successful
B1231,Swallow,"52.074134, 1.060584","0.627444, 5.014831",Successful
B1234,Swallow,"59.504667, 49.382122","10.768213, 101.643165",Failed
B1241,Swallow,"52.614055, -93.888701","12.088189, -88.151052",Failed
B1243,Swallow,"51.905615, 42.953315","3.001614, -9.736098",Failed
B1245,Swallow,"49.423045, -74.710058","-31.847163, -45.138044",Successful
B1253,Swallow,"35.506066, 119.087175","13.388039, 79.115449",Successful
B1255,Swallow,"42.424140, -103.214954","2.859191, -67.171134",Successful
B1256,Swallow,"44.378588, -102.711702","-19.720162, -48.413227",Failed
B1258,Swallow,"48.460117, -5.688918","-11.959390, 31.292083",Successful
B1265,Swallow,"42.951142, -90.631767","13.510771, -88.849916",Successful
B1266,Swallow,"50.976010, 3.341821","-4.696411, 28.002943",Successful
B1279,Swallow,"46.598390, -77.382332","14.078839, -92.991864",Successful
B1289,Swallow,"52.561120, 121.951025","12.912009, 78.839410",Successful
B1290,Swallow,"38.194164, 113.941678","12.766088, 72.888725",Successful
B1308,Swallow,"57.996864, 11.111874","7.166604, 104.496910",Failed
B1309,Swallow,"57.940214, 24.949882","2.715177, -8.595993",Failed
B1312,Swallow,"50.919638, 15.238449","5.611617, 2.006071",Failed
B1315,Swallow,"55.607974, 13.042189","1.229924, -6.813707",Successful
B1316,Swallow,"55.449779, 2.443648","2.062904, 9.867387",Successful
B1326,Swallow,"46.310635, -96.858084","-31.828588, -54.699363",Successful
B1329,Swallow,"45.563695, -81.399177","9.481743, -87.015586",Failed
B1331,Swallow,"45.140482, -85.562418","12.185365, -86.178274",Failed
B1338,Swallow,"45.039924, -81.762641","8.873570, -94.783213",Successful
B1339,Swallow,"51.235032, -83.217390","-33.104741, -52.324757",Successful
B1345,Swallow,"53.947551, -101.154780","14.577193, -83.790062",Successful
B1348,Swallow,"54.054039, -119.213098","3.770828, -74.781867",Failed
B1355,Swallow,"54.402187, 134.015434","13.443779, 103.445811",Failed
B1357,Swallow,"53.517129, -96.589033","11.893258, -94.032419",Successful
B1366,Swallow,"47.449128, 67.639129","3.866249, 34.786478",Failed
B1368,Swallow,"48.502472, 0.178029","5.937172, 98.156332",Successful
B1370,Swallow,"50.232775, 111.527810","14.854724, 107.837255",Successful
B1376,Swallow,"43.097779, 114.735632","-7.269790, 38.014386",Failed
B1377,Swallow,"56.291955, 25.398062","1.273237, 25.736133",Successful
B1396,Swallow,"47.102001, 67.771297","5.251599, 97.027646",Successful
B1399,Swallow,"49.116924, 6.881323","9.596576, 9.390599",Failed
B1406,Swallow,"45.054729, -5.693576","17.047706, 72.665053",Successful
B1407,Swallow,"46.229343, 108.798305","5.636179, 80.928497",Failed
B1417,Swallow,"43.051971, -72.976381","3.108716, -60.212216",Successful
B1420,Swallow,"52.295310, -85.805754","-16.121779, -46.853336",Successful
B1426,Swallow,"48.504116, 36.743963","9.902263, 4.381289",Successful
B1432,Swallow,"49.500764, 29.367803","-10.240787, 32.303316",Successful
B1435,Swallow,"58.073584, 39.841374","14.750007, 70.882537",Successful
B1452,Swallow,"55.687045, 20.456514","8.991328, 79.934891",Failed
B1453,Swallow,"56.983697, 37.507786","5.151229, 102.520433",Failed
B1454,Swallow,"46.603136, 58.128889","14.029991, 73.170605",Successful
B1464,Swallow,"49.308322, 11.493520","12.266437, 108.143851",Failed
B1469,Swallow,"54.334000, -100.877249","9.470780, -88.021761",Successful
B1473,Swallow,"47.912371, 22.543822","-1.007823, 32.432980",Failed
B1487,Swallow,"53.421508, 32.577856","5.460066, 86.827096",Failed
B1496,Swallow,"43.809717, 124.765115","8.131086, 109.911086",Failed
B1505,Swallow,"48.272387, 39.773803","5.289889, 99.283402",Successful
B1527,Swallow,"45.101630, 24.195891","-13.153915, 37.984788",Successful
B1540,Swallow,"46.065831, 105.316494","11.469048, 98.789882",Successful
B1543,Swallow,"51.977182, -0.804830","-8.771842, 38.978770",Successful
B1546,Swallow,"48.318528, 11.502754","15.154171, 78.429252",Failed
B1551,Swallow,"54.944709, -0.015148","3.739611, 30.536559",Failed
B1554,Swallow,"54.695996, -107.464570","17.190284, -86.865551",Successful
B1568,Swallow,"52.446835, 29.931654","4.506117, -0.839833",Failed
B1574,Swallow,"43.405672, 130.266801","5.975329, 1.599131",Successful
B1586,Swallow,"49.497186, -110.470342","6.477493, -67.853093",Failed
B1603,Swallow,"51.125642, -87.447748","-16.241240, -53.514647",Failed
B1609,Swallow,"48.834584, -82.582745","13.493305, -83.214314",Successful
B1617,Swallow,"37.864900, 131.518115","0.054062, 4.131739",Successful
B1618,Swallow,"47.813184, -91.986746","-32.601049, -50.312943",Successful
B1625,Swallow,"36.186682, 133.936663","-3.097899, 26.469731",Failed
B1626,Swallow,"55.852948, 24.433394","7.380150, -5.185849",Failed
B1641,Swallow,"56.285758, -6.532348","11.490824, 9.786428",Successful
B1650,Swallow,"54.928450, -84.711662","-30.215631, -53.785062",Successful
B1660,Swallow,"48.370088, -91.269235","17.554083, -89.620406",Successful
B1663,Swallow,"58.432080, 25.704531","-3.435229, 30.573473",Successful
B1667,Swallow,"52.846832, 7.320588","6.494407, 7.092705",Failed
B1669,Swallow,"57.538371, 34.431216","19.693759, 89.354478",Failed
B1673,Swallow,"44.522727, -84.243754","17.621929, -94.495350",Failed
B1679,Swallow,"52.716526, 26.146567","9.833651, 97.156031",Failed
B1683,Swallow,"44.286089, -90.841562","0.062612, -67.751862",Successful
B1685,Swallow,"51.514457, -117.544661","-32.532312, -56.790238",Failed
B1687,Swallow,"43.247653, -87.289421","9.467361, -94.185215",Successful
B1688,Swallow,"52.668143, -124.037356","4.025255, -64.982764",Failed
B1691,Swallow,"49.244709, 5.526093","4.962969, 5.904884",Successful
B1696,Swallow,"45.645484, 67.063686","8.108240, 8.519510",Failed
B1700,Swallow,"48.546401, 1.709496","11.191303, -12.152514",Failed
B1703,Swallow,"54.341440, 26.836658","10.418473, -1.400026",Successful
B1716,Swallow,"43.920539, -82.321450","13.825195, -81.993266",Failed
B1723,Swallow,"53.562410, -122.901145","13.872874, -87.488824",Successful
B1742,Swallow,"53.471429, 23.984441","13.489097, 104.481001",Failed
B1746,Swallow,"36.059989, 135.118904","19.069095, 86.970753",Failed
B1753,Swallow,"50.756941, -105.130628","15.389688, -87.243470",Successful
B1764,Swallow,"48.118334, 48.392612","11.003444, 89.114159",Failed
