Bird_ID,Species,Origin,Destination,Migration_Success
B1000,Warbler,"46.172658, -99.589982","-15.030332, -50.247878",Failed
B1003,Warbler,"49.005094, -72.394217","21.197670, -71.486782",Successful
B1007,Warbler,"53.801792, -115.627811","14.755982, -86.711351",Failed
B1010,Warbler,"46.724469, -68.409920","9.193883, -82.780254",Successful
B1035,Warbler,"48.594754, -78.555453","19.023354, -73.076838",Failed
B1039,Warbler,"48.830832, -78.247588","22.230824, -71.080193",Successful
B1042,Warbler,"58.817973, -112.546717","20.389905, -78.668925",Successful
B1046,Warbler,"46.549935, -88.143458","-23.918011, -52.497939",Successful
B1052,Warbler,"51.997749, -66.971610","2.951710, -71.432087",Failed
B1055,Warbler,"54.345344, -79.168048","-7.796325, -61.544714",Successful
B1069,Warbler,"52.443614, -84.390231","10.909780, -80.882480",Failed
B1071,Warbler,"47.749911, -95.795774","5.031840, -72.732362",Failed
B1074,Warbler,"53.333184, -97.435973","3.910165, -73.417496",Successful
B1089,Warbler,"46.285418, -85.486517","10.818025, -88.199278",Successful
B1098,Warbler,"52.906229, -66.800354","21.407909, -74.581001",Successful
B1099,Warbler,"47.464661, -92.950409","19.943316, -67.257162",Failed
B1101,Warbler,"44.097018, -82.430375","20.923820, -74.576037",Successful
B1108,Warbler,"54.571538, -114.526128","22.749576, -66.123548",Failed
B1118,Warbler,"45.041293, -75.810394","12.455467, -82.838348",Failed
B1122,Warbler,"52.921846, -114.753496","3.641315, -64.094831",Failed
B1126,Warbler,"54.941139, -87.907318","20.475416, -69.267514",Successful
B1136,Warbler,"58.725780, -113.415648","-6.019937, -57.298404",Successful
B1140,Warbler,"45.459296, -72.042662","19.744696, -79.541209",Successful
B1145,Warbler,"48.447139, -82.432971","10.593433, -92.863858",Successful
B1146,Warbler,"59.625927, -125.143353","12.776736, -83.149895",Successful
B1157,Warbler,"53.618324, -122.889157","-7.580450, -67.078178",Failed
B1163,Warbler,"53.938878, -88.463835","22.965342, -71.378752",Successful
B1164,Warbler,"48.475137, -80.056906","17.611879, -68.939302",Successful
B1166,Warbler,"52.176788, -99.277942","22.826781, -73.657921",Failed
B1169,Warbler,"59.769997, -90.776628","17.105205, -65.776597",Successful
B1170,Warbler,"50.635084, -77.359059","16.863187, -86.944554",Successful
B1176,Warbler,"59.486372, -96.292806","9.720830, -90.699085",Failed
B1177,Warbler,"56.116165, -92.646381","4.455671, -70.400050",Failed
B1184,Warbler,"60.552921, -153.304732","10.251691, -88.338848",Successful
B1185,Warbler,"45.932235, -69.777050","18.293526, -78.441342",Failed
B1187,Warbler,"52.592281, -84.715338","20.138572, -71.822286",Successful
B1192,Warbler,"55.555948, -127.443848","3.398300, -72.092666",Successful
B1213,Warbler,"52.493604, -111.433095","7.215051, -69.078790",Successful
B1216,Warbler,"46.680560, -84.367029","-17.708256, -48.511392",Failed
B1228,Warbler,"50.883220, -65.550174","5.798742, -63.311779",Successful
B1238,Warbler,"52.421391, -101.438180","-29.666400, -55.479738",Failed
B1250,Warbler,"43.765937, -71.750309","17.104287, -75.734375",Successful
B1263,Warbler,"44.271574, -96.045705","15.530837, -83.569403",Successful
B1274,Warbler,"46.718531, -75.770955","12.327520, -93.363215",Successful
B1276,Warbler,"48.952804, -82.623874","18.983819, -76.218686",Successful
B1280,Warbler,"59.631399, -103.879206","22.230722, -71.970043",Failed
B1288,Warbler,"48.055201, -70.786192","21.959295, -75.416962",Failed
B1303,Warbler,"62.105666, -152.204092","-6.928636, -61.650458",Successful
